,movie name,actors,rating,year,director
211,Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.05,2009,Lasse Hallström
212,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.05,1959,William Wyler
213,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.05,1986,Oliver Stone
214,Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.05,2013,Ron Howard
215,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.05,1928,Carl Theodor Dreyer
216,Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.05,2017,James Mangold
217,Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.05,1989,Peter Weir
218,Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.05,2011,David Yates
219,Andrei Rublev,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.05,1966,Andrei Tarkovsky
220,Les quatre cents coups,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.05,1959,François Truffaut
221,Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.04,2004,Terry George
222,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.04,2000,Alejandro G. Iñárritu
223,Rang De Basanti,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.04,2006,Rakeysh Omprakash Mehra
224,Ah-ga-ssi,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.04,2016,Chan-wook Park
225,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.04,2015,Tom McCarthy
226,Kaze no tani no Naushika,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.04,1984,Hayao Miyazaki
227,Portrait de la jeune fille en feu,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",8.03,2019,Céline Sciamma
228,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.03,1976,John G. Avildsen
229,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.03,1940,Alfred Hitchcock
230,"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",8.03,2001,Pete Docter
231,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.03,1995,Mathieu Kassovitz
232,It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.02,1934,Frank Capra
233,Gangs of Wasseypur,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.02,2012,Anurag Kashyap
234,Faa yeung nin wa,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.02,2000,Kar-Wai Wong
235,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.02,2004,Richard Linklater
236,The Princess Bride,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.01,1987,Rob Reiner
237,The Help,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.01,2011,Tate Taylor
238,"Paris, Texas","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.01,1984,Wim Wenders
